canonical_id,name,region,decision_rule,decision_reason
can_bb87aac30d54,Puncak Desa Wisata Pujorahayu,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_ffa92861bb42,Pulau Sijebi,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_8ad5903c6bbd,Pantai cukuh bedil,Kabupaten Pringsewu,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_f7ccd97342ff,Pulau Pahawangkecil,Kabupaten Pringsewu,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_01c9457424a4,Kolam Pemandian Wonotirto,Kabupaten Pesawaran,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_cf583713c546,Pantai Klara Lampung,Kabupaten Pesawaran,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_236985ac79b1,Pulau Tangkil,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_7e4407f19c27,Mr Sunday - Trip Pulau Pahawang,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_dbab64cde3cc,KEBUN JERUK OM DARWIS,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_5d307a1b99f0,Pulau Tangkil,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_cbf58a67baf3,WISATA KEBUN JERUK DAENG PARIS 1,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_26e23b155151,KEBUN ALPUKAT YELLOW Golden Way Harong,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_70d12f0a7aac,Sidodadi Water fall,Kabupaten Pesawaran,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_a4073e37b1a3,Taman sukaraja,Kabupaten Pesawaran,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_2072b3547930,Mata Air Sumberagung1,Kabupaten Tanggamus,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_65c1d43cb691,Wisata mata air,Kabupaten Tanggamus,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_ef591262057e,PARKIRAN WISATA MATA AIR GUNUNG BATU,Kabupaten Tanggamus,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_9e82bc01bd42,Taman Wisata Bukit Singkek,Kabupaten Tanggamus,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_7005c4ec9fc4,Pantai Beringin Saka,Kabupaten Tanggamus,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_4479573dce23,Kebun lada sinar laut,Kabupaten Tanggamus,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_1fe48893cb08,Puncak Mas,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_57b692bafa39,Bukit Sakura Kemiling,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_60372709f532,Lampung Walk,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_f766e56533cc,Lungsir (Taman Kota),Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_1bc7d7c308eb,Kawasan Wisata Sumur Putri,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_26b28da9aa2c,Dermaga Pulau Pasaran,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_180f5d4c7bb2,Taman Pahlawan,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_3c9d25ff4912,Taman Citra Garden,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_7b72130897dd,TAMAN BUNGA INDAH MANDIRI,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_0520bf4cb146,Ruwa Jurai,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_4ed9dccc7fc8,Hendro Taman Hidroponik Ini & Organik,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_c89e4264540a,Kampung Agrowidya Wisata,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_2b57343dd504,Samar Scout Camp,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_30bffb5fae0c,Taman Cintaku,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_48b4908d30ee,pantai duta wisata,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_04a90c3fe54e,POHON KEHIDUPAN FESINDO,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_01a1fc1a6ff9,Kebun langit Group Kepiting Nyablak,Kota Bandar Lampung,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_00d338703fa6,Taman komarudin,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_02528a834d43,Monk Forest,Kota Bandar Lampung,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_69d3f2d38cb6,Kebun Raya Liwa,Kabupaten Lampung Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_d438db57b470,Pantai Sendung,Kabupaten Lampung Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_02108f555528,WISATA BATU API,Kabupaten Lampung Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_720fb2c2e8a5,Pantai Canti Kalianda,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_68d3dfe705e8,Pantai Ketang,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_1c55fb1a056f,Taman TOGA (Tanaman Obat Keluarga),Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_1ab913eb55bf,Pantai minangrua,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_3f7d38e8cabe,Air Panas di Pantai Kalianda,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_03f151672366,Pantai kerang mas,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_dc4f5173460a,Pulau Sekepal,Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_66fdd8bc783d,Water World Lampung,Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_d94d13b0739d,Kawasan Wisata Agroforestri ITERA,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_118fd34cfb53,PANTAI MUARA INDAH SUAK,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_a18ea9af3538,Pantai Teluk Nipah Kalianda,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_110646772b01,Pasir wisata pasir putih,Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_379d368b7122,Pulau Sulah,Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_032df40e15a9,BARAQBAH BEACH NATURE,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_3b7d06cd5ee1,Pantai Kedu Sinar Laut,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_57c6de033708,Canti Kalianda Beach,Kabupaten Lampung Selatan,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_33e649f92e8d,Tanjung BEO Wanawisata Nirwana Resort,Kabupaten Lampung Selatan,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_aae582205b02,Pantai Tembakak Krui,Kabupaten Pesisir Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_847ed2298586,Pantai Melasti,Kabupaten Lampung Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_01336cdc6ae6,Pantai Pase,Kabupaten Lampung Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_4f2843746fe0,Pantai BUDANGIN,Kabupaten Lampung Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_bbfb7298f102,PANTAI UJUNG,Kabupaten Pesisir Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_079935eafadb,Pantai penggawa v tengah,Kabupaten Pesisir Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_23165c99d33c,Pantai Penaga Resort,Kabupaten Pesisir Barat,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
can_2678cb656d1f,"1&2 Beefree Beach Bar & Surf Lesson. sewa papan surfing, open trip",Kabupaten Pesisir Barat,weak_category_evidence,Category-only evidence is insufficient for research target. Requires manual review.
can_2f42e3897ac9,Taman Wisata Rafa,Kabupaten Lampung Tengah,insufficient_evidence,Insufficient evidence to classify as research or excluded. Requires manual review.
