canonical_id,name,original_priority,validation_scope_status,previous_decision,audited_decision,free_evidence,evidence_source,has_valid_provenance,audit_reason
can_59a8f91551ac,Pahawang,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_31542a3adb2e,Air terjun ciupang,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_ea024c308440,Air terjun keranji,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_9f9f62569267,Air terjun ciupang,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_4caecae1c000,Teluk betung,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_b279666e08e8,Aero Travelindo,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_cada872752b2,Pantai Sari Ringgung,medium,in_scope,excluded_free,research,,,False,Salah klasifikasi. Sebelumnya salah tandai gratis akibat pencocokan kata description yang terlalu luas. Diperbaiki menjadi research.
can_83f96132a28e,B.C Lantana,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_4db9b666b071,Air terjun Sukma Ilang,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_9e088d30e726,Lembah Mamabe,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_6b4de3296b39,Air Terjun Talang Beringin,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_00055c1c8161,Wisata Mata Air Gunung Batu,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_142a3fb45d57,POS 1 Gunung Tanggamus,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_dd7cc4c40c55,Ganong mata air,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_93ef14c458ec,Bukit Singkek,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_46344e0deb0c,Old Steel Bridge,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_ea9c6614c456,Kebon duku bpk supar,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_7a3830c677ef,AIR TERJUN (CURUP),low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_b93fe6f09dc1,Pintu 1 Air Terjun Lembah Pelangi Sukamaju,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_01a8f6a5d95c,gunung sari,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_075f59d24b7d,Gunung Loro ireng,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_8bf098941c4b,Air terjun sarjaya,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_a41aa38612f2,Air terjun way handak,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_d72a6355ec71,Nelayan,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_d5c81ed1e161,Tampian baheula,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
can_a95502ad98a4,ڤُنْچَاكْ ڳُوْس لِيحْ PUNCAK GUSLIKH,low,out_of_scope,excluded_free,not_evaluated,,,False,Only marked as excluded_free because original priority was low. Low priority does not signify free entry.
