canonical_id,name,region,final_decision,decision_rule,decision_reason
can_f766e56533cc,Lungsir (Taman Kota),Kota Bandar Lampung,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: taman kota)
can_07f1c277cc43,Sawah yuk ari,Kabupaten Lampung Barat,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_da51a92cbc18,sawah lebung Bram Gent,Kabupaten Lampung Timur,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_40a3df3667b4,Lapangan BRAJAASRI,Kabupaten Lampung Timur,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: lapangan)
can_f720fde0e364,Makam,Kabupaten Lampung Timur,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: makam)
can_0dede19da9e8,Tugu Payan Mas Kotabumi,Kabupaten Lampung Utara,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: tugu)
can_380cd068a4e4,Simpang rengas wisata,Kabupaten Lampung Utara,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: simpang)
can_00e73f54493a,TUGU TAMAN HAYATI MEKARSARI,Kabupaten Mesuji,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: tugu)
can_af6e64f6fb43,Sawah Anton kian sp5,Kabupaten Mesuji,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_47488bf0fc45,sawah adnan,Kabupaten Mesuji,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_d81aa0fa427b,Sawah Aris Putra,Kabupaten Mesuji,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_6d344c26c3c7,Taman Merdeka Kota Metro,Kota Metro,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: taman merdeka)
can_0ea29224c54b,Griya sawah,Kota Metro,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_0184d61fb09d,Hutan Kota Stadion Tejosari,Kota Metro,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: hutan kota)
can_168c0626e801,Sawah dede lili,Kabupaten Pringsewu,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_72cb6f83970c,Pos Air BD. Sejahtera,Kabupaten Tulang Bawang,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: pos\s)
can_15dc7c773782,Taman Tugu Dodos,Kabupaten Tulang Bawang,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: tugu)
can_7ffcb2575c29,Lapangan Banjar Margo,Kabupaten Tulang Bawang,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: lapangan)
can_6cd30a8f7045,Simpang Wisata Cakat Raya,Kabupaten Tulang Bawang,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: simpang)
can_fd63dd0c8c25,Sawah wayang Ricky,Kabupaten Tulang Bawang,excluded_non_attraction,non_attraction_filter,Name or category indicates this is a non-attraction facility (matched: sawah)
can_004135856044,Tugu Empat Marga,Kabupaten Tulang Bawang Barat,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: tugu)
can_198553114e0e,Lapangan Pemuda Ketapang,Kabupaten Lampung Tengah,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: lapangan)
can_0f49826fcdf9,Alun-alun Panarangan,Kabupaten Lampung Utara,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: alun-alun)
can_0568deac000e,TAMAN KOTA Unit II Banjar Agung,Kabupaten Tulang Bawang,excluded_free,public_free_space,Attraction is identified as a public or free space (matched: taman kota)
