source_name,file_path,file_format,exists,row_count,unique_canonical_ids,duplicate_canonical_ids,primary_key,join_key,cardinality,frozen,sha256,notes
canonical_verified,data/canonical/attractions_master_verified.parquet,parquet,true,3130,3130,0,canonical_id,canonical_id,one-to-one,true,d9dd9500c0ab50cf3d0a6735c469ce95f75e2227782dce7072b010f282b9bde0,"Attractions master verified list (3,130 places)."
attractions_candidates,data/canonical/attractions_candidates.parquet,parquet,true,1048,1048,0,canonical_id,canonical_id,one-to-one,true,4f5dc5c3637ac3b54cb57665e1b9f0d3fb3975195dc8d547425fcac33328a87d,Attraction candidates for manual review.
place_metadata,data/enrichment/metadata/place_metadata.parquet,parquet,true,300,300,0,canonical_id,canonical_id,zero-or-one to one,true,f27d66b7f40850ed1f8e4903cad94a018b9724304eb29f8cbacd76fea82de4c0,Metadata backfill pilot results (300 places).
reviews,data/enrichment/final/reviews.parquet,parquet,true,924,172,752,review_id,canonical_id,one-to-many,true,6fdef9b6ddf0015aa3d8bd62e9d47396c08f314b1a2ee491574d5d31749a1c6f,Representative reviews scraped from Google Places (172 unique places).
facilities,data/enrichment/metadata/facilities.parquet,parquet,true,596,223,373,facility_id,canonical_id,one-to-many,false,ae744f5b0a154d0cf86d95152f45b6623f6d5746dcc16fdeaedffa17d038297d,Normalized facilities mapping for pilot places.
opening_hours,data/enrichment/metadata/opening_hours.parquet,parquet,true,692,99,593,opening_hours_id,canonical_id,one-to-many,false,02ad26f1d689562afa003cb29f854b34c904f3f404d1d4c2d4bb2479168a75e3,Opening hours periods for pilot places.
operational_status,data/enrichment/metadata/operational_status.parquet,parquet,true,300,300,0,status_id,canonical_id,one-to-one,false,d98a7f7dcc47add5949e077a4c453336873015dddc6e3b22ef4fec11e088bb24,Operational status updates for pilot places.
research_price_candidates,data/enrichment/price/validation/research_price_candidates.csv,csv,true,11,11,0,canonical_id,canonical_id,zero-or-one to one,true,b0f9758b3785407c647a181c77f131fa4f2ba774dcb4535cd6bde8aa98d2ef78,Price research validation results for 11 candidates.
price_observations,data/enrichment/price/research/price_observations.csv,csv,true,32,8,24,price_observation_id,canonical_id,one-to-many,true,322b6f2b5e9fabbbc5bc3213ce42a01519d13f0b2322c0ee5d7c262b2260d164,"Local price observations (32 rows, 8 unique places)."
prices,data/enrichment/price/final/prices.csv,csv,true,30,8,22,price_id,canonical_id,one-to-many,true,c40a339903bacae6d91fd09961b6f4f2392e57566a2c5273848aeb45ad338dca,"Selected final local prices (30 rows, 8 unique places)."
external_price_verification_queue,data/enrichment/price/research/external_price_verification_queue.csv,csv,true,11,11,0,canonical_id,canonical_id,zero-or-one to one,true,24e3456ca23b5131f3ccb0dd59d89b6794eab463ea5f5233670d833cd072179c,External verification queue for 11 candidates.
external_verification_coverage,data/enrichment/price/external/external_verification_coverage.csv,csv,true,11,11,0,canonical_id,canonical_id,zero-or-one to one,true,13d12cf041ca7da5c75cf8ca4df7bc71eeab5796627af05c7b6ccc78f23c864b,External verification coverage status (11 places).
prices_external_verified,data/enrichment/price/final/prices_external_verified.csv,csv,true,0,0,0,verified_price_id,canonical_id,one-to-many,true,9e82d81122c047d0d0eb5221eeb5d74cb83734107b23929683f7d6297961f230,Externally verified selected prices (0 rows).
