field_name,type,nullable,allowed_values,description,source,aggregation,null_policy
canonical_id,string,False,Pattern: ^can_[a-f0-9]{12}$,Immutable primary key of canonical attraction,pilot_places.parquet,Direct,Never null
name,string,False,Any non-empty string,Canonical name of the attraction,pilot_places.parquet,Direct,Never null
normalized_name,string,False,Any non-empty string,Normalized lowercase name for index matching,attractions_master_verified.parquet,Direct/Join,Never null
primary_category,string,False,"beach, waterfall, island, agrotourism, park, recreation, forest, camping, hill, mountain, religious, museum, history, culture, education, river, lake, family, other",Primary categorized classification of attraction,pilot_places.parquet,Direct,Never null
category_group,string,False,"nature, cultural, recreation, other",High-level categorized group,Derived from primary_category,Conditional mapping,Never null
region,string,False,Kabupaten and Kota in Lampung,Region name of the attraction,pilot_places.parquet,Direct,Never null
district,string,True,Any string or empty,District name (kecamatan),attractions_master_verified.parquet,Join,Set to None if missing
city_or_regency,string,False,Any non-empty string,City or Regency (kabupaten/kota),attractions_master_verified.parquet,Join,Fallback to region
latitude,float,False,-90 to 90,Geographic latitude coordinate,pilot_places.parquet,Direct,Never null
longitude,float,False,-180 to 180,Geographic longitude coordinate,pilot_places.parquet,Direct,Never null
canonical_status,string,False,"verified, candidate",Classification status of attraction,attractions_master_verified.parquet / attractions_candidates.parquet,Lookup,Default to verified
source_count,integer,False,>= 1,Total number of mapped raw source records,pilot_places.parquet,Direct,Never null
has_google_maps_source,boolean,False,"true, false",Flag indicating if Google Maps source mapping exists,pilot_places.parquet,Direct,Never null
has_osm_source,boolean,False,"true, false",Flag indicating if OpenStreetMap source mapping exists,attraction_sources.parquet,Boolean match,Never null
has_apify_source,boolean,False,"true, false",Flag indicating if Apify Google Maps mapping exists,pilot_places.parquet,Boolean match,Never null
source_types,string,False,"JSON list e.g. [""google_places"", ""osm""]",List of all raw source formats contributing to entity,attraction_sources.parquet,List aggregation,Never null
source_conflict_count,integer,False,>= 0,Number of conflicted key attributes between raw sources,metadata_conflicts.csv,Join & Count,Never null
review_eligible,boolean,False,"true, false",Whether place was eligible for review scrape (has google_place_id),pilot_gp,Join,Never null
review_attempted,boolean,False,"true, false",Whether review scrape was attempted in pilot,pilot_gp,Join,Never null
has_reviews,boolean,False,"true, false",Flag indicating presence of reviews in final review dataset,reviews.parquet,Join,Never null
review_count,integer,False,>= 0,Total number of reviews in final reviews layer,reviews.parquet,Group Count,Never null
review_rating_mean,float,True,1.0 to 5.0 or null,Average rating of reviews,reviews.parquet,Mean,Null if no reviews
review_rating_median,float,True,1.0 to 5.0 or null,Median rating of reviews,reviews.parquet,Median,Null if no reviews
review_rating_min,float,True,1.0 to 5.0 or null,Minimum rating among reviews,reviews.parquet,Min,Null if no reviews
review_rating_max,float,True,1.0 to 5.0 or null,Maximum rating among reviews,reviews.parquet,Max,Null if no reviews
review_text_count,integer,False,>= 0,Total number of reviews with non-empty review text,reviews.parquet,Count non-empty,Never null
