verification_queue_id,canonical_id,name,current_research_status,observation_count,provisional_price_count,reason,verification_priority,recommended_source_types,official_query,government_query,social_media_query,ticketing_query,requires_manual_review
q_ver_0001,can_1fef284e7d10,Dermaga Pulau Pahawang,completed_with_price,2,2,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Dermaga Pulau Pahawang"" site:official_website","site:go.id ""Dermaga Pulau Pahawang"" tiket","site:instagram.com ""Dermaga Pulau Pahawang"" tiket","site:traveloka.com ""Dermaga Pulau Pahawang""",True
q_ver_0002,can_151f3bbf542d,Pantai Mutun,completed_with_price,6,6,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Pantai Mutun"" site:official_website","site:go.id ""Pantai Mutun"" tiket","site:instagram.com ""Pantai Mutun"" tiket","site:traveloka.com ""Pantai Mutun""",True
q_ver_0003,can_cada872752b2,Pantai Sari Ringgung,completed_with_price,5,5,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Pantai Sari Ringgung"" site:official_website","site:go.id ""Pantai Sari Ringgung"" tiket","site:instagram.com ""Pantai Sari Ringgung"" tiket","site:traveloka.com ""Pantai Sari Ringgung""",True
q_ver_0004,can_1f6b9f3c2ceb,Camping Area Sonokeling 1,completed_no_current_price,0,0,No local price evidence found. Needs thorough external search.,low,"official_website,social_media,government_release","""Camping Area Sonokeling 1"" site:official_website","site:go.id ""Camping Area Sonokeling 1"" tiket","site:instagram.com ""Camping Area Sonokeling 1"" tiket","site:traveloka.com ""Camping Area Sonokeling 1""",True
q_ver_0005,can_a0d4ca18f1f7,Kolam renang,completed_no_current_price,0,0,No local price evidence found. Needs thorough external search.,low,"official_website,social_media,government_release","""Kolam renang"" site:official_website","site:go.id ""Kolam renang"" tiket","site:instagram.com ""Kolam renang"" tiket","site:traveloka.com ""Kolam renang""",True
q_ver_0006,can_17b24ba62485,Water Park Citra Garden,completed_with_price,3,3,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Water Park Citra Garden"" site:official_website","site:go.id ""Water Park Citra Garden"" tiket","site:instagram.com ""Water Park Citra Garden"" tiket","site:traveloka.com ""Water Park Citra Garden""",True
q_ver_0007,can_2850f83ad341,Kolam Renang Perahu Layar,completed_with_price,1,1,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Kolam Renang Perahu Layar"" site:official_website","site:go.id ""Kolam Renang Perahu Layar"" tiket","site:instagram.com ""Kolam Renang Perahu Layar"" tiket","site:traveloka.com ""Kolam Renang Perahu Layar""",True
q_ver_0008,can_58c471e76647,Slanik Waterpark Lampung,completed_with_price,5,5,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Slanik Waterpark Lampung"" site:official_website","site:go.id ""Slanik Waterpark Lampung"" tiket","site:instagram.com ""Slanik Waterpark Lampung"" tiket","site:traveloka.com ""Slanik Waterpark Lampung""",True
q_ver_0009,can_1a46f7a6372c,Taman Nasional Way Kambas,completed_with_price,8,5,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Taman Nasional Way Kambas"" site:official_website","site:go.id ""Taman Nasional Way Kambas"" tiket","site:instagram.com ""Taman Nasional Way Kambas"" tiket","site:traveloka.com ""Taman Nasional Way Kambas""",True
q_ver_0010,can_b4a866f13078,Camping island,completed_no_current_price,0,0,No local price evidence found. Needs thorough external search.,low,"official_website,social_media,government_release","""Camping island"" site:official_website","site:go.id ""Camping island"" tiket","site:instagram.com ""Camping island"" tiket","site:traveloka.com ""Camping island""",True
q_ver_0011,can_5dd47abc65d1,Kolam Renang Tirta Garden,completed_with_price,2,2,Only historical review prices exist. Needs current validation.,medium,"official_website,social_media,government_release","""Kolam Renang Tirta Garden"" site:official_website","site:go.id ""Kolam Renang Tirta Garden"" tiket","site:instagram.com ""Kolam Renang Tirta Garden"" tiket","site:traveloka.com ""Kolam Renang Tirta Garden""",True
